,review
0,"It's not really a review but my attempt to explain how I interpreted the movie to those who complain that the film is overrated, especially if the reason is that they didn't like the second half of it.It's much easier to understand the message of a movie when the 'good guys' win or the 'bad guys' get punished in the end. I'm not saying that all Hollywood films are so naive in their portrayal of moral values. But still, I believe that Parasite is much more subtle than most other movies that people are accustomed to watching in which there's a character with a clearer 'moral center' whom audiences can easily relate to. So, I think it's no surprise if the message of this film had failed to register for some of the audiences.Some complained that they don't understand Ki-Taek's motive for killing Mr. Park. But to fully appreciate this, you need to understand the meaning of a recurring expression in the dialogue which is, ""crossing the line"".It's a deliberately ambiguous phrase that can either read as one should respect other people's privacy or as one should mind one's own (social) position instead of meddling with the affairs of those in a different position. If interpreted as the latter meaning, it can serve as another image that emphasizes the subject matter of the narrative, along with more easy to notice the metaphor of the two families' respective dwellings.It would probably have satisfied such audiences who expected more lighthearted drama if the movie focused on an underprivileged, but more likable family exploiting a cold hearted snobbish family in a comical manner. But the movie would have lost all its genuine charms if Bong Joon-Ho chose such a path, and he is too good a director not to see such a danger.Instead, he chose to make Mr. Park a reasonable enough character, despite his occasional hints that reveal his true nature. He seems to treat Ki-Taek fairly enough at first, but he also warns the latter not to 'cross the line' if Ki-Taek attempts to pry into his private life.At first, it seems that it's quite easy for Ki-Taek and other members of his family to sneak into Mr. Park's house in various roles and mingle with them. Ki-Taek even compliments how nice Mr. Park's family is, but his premature admiration soon gets challenged when he overheard, when he was hiding under the table, what Mr. Park really thinks of him - almost a different species of the human being who doesn't even smell like him.Ki-Taek's final disillusionment came when Mr. Park cringes from the smell of the dead basement dweller and shows much more concern for his son's shock while virtually ignoring Ki-Taek's daughter's status who's dying on the ground, spurting blood from the stab wound.That moment, Ki-Taek realizes how Mr. Park sees him and his whole family as not an equal human being, but something much more insignificant.And he also realizes the 'line' that separates the two families is not just that of courtesy or proper social behaviour. Instead, it is a line that can even determine the life of those 'lesser' human beings to be less important than the passing unpleasant feelings or mental shock of those 'proper' human beings.However easy it was for Ki-Taek's family to sneak into Mr. Park's house, or however they try to socialize and mingle with Mr. Park's family, their existence is no better than that of a 'parasite', which is also visualized so effectively by the presence of the hidden basement room inside the house.With such disillusionment and anger, Ki-Taek chose to kill Mr. Park, as a parasite could to its host, and like a parasite, he keeps hiding deep inside the dead host's body until he could claim the whole of the carcass and use it as nourishment for his offsprings.The tragedy was not something caused by any exceptional defect or vice of either Mr. Park's or Ki-Taek's personalities. Instead, it's a 'line' drawn by an invisible hand, separating those classes according to their respective social conditions, which can be so brutal as to be able to deprive the two families of their humanity in contrasting manners. And that is what I believe to be the message this film is trying to convey.Of course, not every movie must make a commentary on society rather than providing a care-free pastime that everyone can understand.But without if the movie didn't change its gear in the second half to shed light on a serious inherent problem of our society, it would be just another heist gone wrong type comedy, instead of a deserving candidate to be called the best film of the year."
1,"Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.this is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen."
2,"Last night COL Ferry and I (COL Coldwell, both USA) were able to watch the new WWI film, 1917, before it has national release. It is a cinematographic feast for the eyes, long expansive shots that follow the protagonists as they execute their mission. It does not hide the horrors that existed in trench warfare, it shows them for their brutality and abundance. (My great uncle died as a consequence of his service fighting in the trenches, mustard gas poisoning). In many ways it reminded me of Saving Private Ryan.For those who have served in combat (I have deployments to Iraq and Afghanistan), I cannot tell you if the film will be too difficult to watch, it might well be, especially if incoming artillery is a trigger. For me, as the camera travels a few inches above the dirt advancing slowly up a berm, my response was visceral. I was taken back to the patrols we walked in Afghanistan, not knowing what was around the corner; not relaxing heightened vigilance, not knowing if there would be an IED, a child wearing a suicide vest, a sniper taking aim. For the protagonists in this film (as for all who served and are serving) surviving the climb up the berm, there is no sigh of relief, no respite from the fear of uncertainty. They (we) survive to move forward to face more uncertainty.Watching allowed me to pay homage to my great uncle, and the approximate 800,000 other Brits who were killed or died as a consequence of their service. (Germany lost over 2 million soldiers in the war). Estimates put the total casualty numbers for both military and civilians at 40 million, half killed or died from wounds/infection.I rate this film as 10/10, for many reasons. Directing, acting, set design, cinematography, musical score, the raw emotion it invokes. Some critics have said they never felt a connection with the characters, I suspect they never served in combat. While the brotherhood (including female War Fighters) is strong, there is also a common characteristic possessed by all War Fighters, the ability to focus on a mission and suppress emotion, even as those around the Fighter fall. This was the quality I recognized in the actors and why the viewer doesn't ""bond"" with the main protagonists; we, the viewer, were on the mission with them, we grieve as we can and move on.Watch if you will, but know there is no pleasure in watching and the film will grab you and the beginning and not let you go. Even though we know the outcome of WWI, there is no joy, there is no peace. Watch because it will allow you a glimpse at the horror and brutality of war; reflect on their service and sacrifice. Note, as we (the viewer) are ""walking"" through the trenches, glancing shots of the young soldiers shows them with flat affect, isolation, almost apathy; this is the face of ""shell shock,"" what we know call post-traumatic stress disorder.For original WW1 footage, watch ""They Shall Never Grow Old,"" an exceptional documentary."
3,"Nothing was typical about this. Everything was beautifully done in this movie, the story, the flow, the scenario, everything.
I highly recommend it for mystery lovers, for anyone who wants to watch a good movie!"
4,"Legal historians and courtroom drama fans will have a field day with this Aaron Sorkin film which depicts the trial of eight radical protesters who made a name for themselves in Chicago during the 1968 Democratic National Convention. A disparate array of left-wing activists who took it upon themselves to demand an end to the Vietnam War instead became involved in the ghastly legal aftermath of the riots and thus faced criminal charges for allegedly instigating the violence. This film portrays the sham trial that took place.Jospeh Gordon-Levitt, who has not been in anything good for a long time, is solid as the lead federal prosecutor who reluctantly takes on the assignment of trying to put the radical protesters behind bars. Mark Rylance's modest, down-to-earth demeanor makes him a rather peculiar fit to portray defense attorney William Kuntsler, the famous defense attorney well-known for his outspoken courtroom oratory and publicity hound antics. Frank Langella is flawless as Julius Hoffman, the judge who presided over this trial and whose combustible temper and tenuous mental faculties made him a ready target for ridicule from many, including those involved in the case. Edie Redmayne is excellent as Tom Hayden, the more pragmatic but equally passionate protester and defendant. Sacha Baron Cohen and Jeremy Strong are both stellar as defendants Abbie Hoffman and Jerry Rubin, respectively. Finally, Yahya Abdul Mateen II is eloquent as Bobby Seale, a Black Panther Party co-founder and the lone African-American defendant in the case.There are discreet details about the trial I was hoping the film would cover. There is no mention of Bobby Seale's many colorful nicknames he assigned to the judge. It mentions the poet Alan Ginsberg only as a fellow protester, when in fact he was also called as one of several celebrity witnesses. So was the musician Judy Collins who began singing an anti-war song during her testimony. These, however, are minor oversights because the fundamental essence of this circus of a trial is effectively captured in the film. Unlike much of Sorkin's earlier work, the dialogue in this film is less grandiose and more straightforward. There are less pyrotechnics and more re-creation here. I mean that as a compliment. It's the perfect portrayal of a trial which turned out to be a low point in the history of American jurisprudence. It also expertly captures the schism within the American left and how the idealists and pragmatists often locked horns even back in the 1960s. Gripping, frightening and instructive in today's world, it is not to be missed. Highly recommended to all."
5,"It feels like this movie is being swept under the rug. I won't say by whom, but I will remove my tin foil hat now. Fantastic fantastic film. This movie really rocked my world. It took me a few days to calm down I was so enraged at the subject matter. Unbelievable crimes against humanity. But because Dupont makes 75 billion dollars a year nobody can touch them. Not even the government. Evvryone should see this. Very thrilling and well made. Mark Rufallo can go fly a kite though. He's the same as he always is"
6,"No idea why some people are rating this so low. To me, it was a fresh, unique take on a brutal topic and it excited me more than any film I've seen recently. I'm not usually a fan of Carey Mulligan but her performance was incredible.
I've never written an IMDB review before but felt compelled to recommend this movie. Go see it."
7,"Hello again folks. I enjoy leaving reviews for these mind twisting movies. Here I will do my best and explain the timelines of the 4 major characters. All characters go through a RED timeline and a BLUE timeline. RED is moving forward and BLUE is moving backwards in the RED timeline. I hope that makes sense. Here we go!1) The Sator Timeline. When he's a young man he finds a box while working in Russia. The box contains gold and the BLUE technology. He's on a mission to find pieces for a doomsday devise that wipes out existence. The last piece he needs is missing. He threatens Kat's life with the Protagonist. He uses the Blue technology to recover the missing piece. He now has all the pieces for the doomsday device. He than goes back to the day on the yacht in the RED timeline. The day where Kat sees SOMEONE dive off the boat and says he disappeared.2) TheProtagonist timeline. After the opening opera scene he is tortured, passes a test, and is recruited. He learns of the BLUE technology. He gathers information to lead him down the path and finds the missing piece for Sator. After Kat gets shot he then uses BLUE technology so she can heal. She can heal in the BLUE timeline because she was shot with BLUE technology. Only way to come back to the RED timeline was through another BLUE and RED machine. Only one he has seen was at the airport. So the Protagonist must get them back to the RED timeline using the airport BLUE and RED machine. Protagonist then goes back to the day of the yacht in the RED timeline. Where they remove the doomsday device before the explosion.3) The Neil Timeline. Neil helps the Protagonist in the now RED timeline. Not Neil's RED timeline but the Protagonist's RED. They find what they need to find. After Kat gets shot he goes into the BLUE timeline and along to the airport to get her through the RED and BLUE machine. He then travels to the day of the yacht in the BLUE timeline. As he is in the cave he sees another BLUE and RED machine. Knowing that they caved in the tunnel with explosives he needs to be at multiple places at once. So he then travels again through the BLUE timeline to intercept the Protagonist's failure so the Protagonist does not fail. He gets killed in the process. Keep in mind that when he went through the BLUE twice one of his selfs had to go to the RED timeline. This is where he meets up with them at the end. This is where the Protagonist realized he's dead and it was him who saved him at the opera house in the beginning.4) The Kat timeline. When she meets the Protagonist in the movie it's in the RED timeline. She tells a story about the yacht and she see a woman dive off the boat, the woman diver is herself. Later, Kat gets held hostage by Sator in the RED timeline. Sator is in the same timeline but in BLUE. After the Protagonist saves her they are both captured. Protagonist captured in RED and Kat is captured in BLUE. After she gets shot she heals (Airport scene). She then heads to the day on the yacht in the RED timeline. She sees her past self leave the boat with her son and sees Sator leave in his helicopter. Ok this where it gets tricky... Sator comes back but it's not the RED Sator it's the BLUE Sator from the highway scene after he got all the pieces from the doomsday device. The RED Sator left and the BLUE came back in the RED timeline. She kills him. She always killed him. She said earlier at dinner with the Protagonist that she saw a woman dive off the boat and her husband had disappeared. She killed him and slid him off the boat with the lotion she put on his back.Whatever happened was always going to and did happen. Neil says that a few times. But it wasn't until the end where he says it doesn't mean you should sit around and do nothing about it. Kat always kills Sator that day, Neil always dies that day.I hope that clears up some confusions. I did my best without going into the smaller details. Please react if this was helpful or not. Thank you reading those that made it until the end."
8,"This franchise has obviously become a parody. It seems that a very high number of the World's population serve the High Table. They're everywhere, behind every corner, but they cannot kill one single man, even if they stab, shoot, throw him from the hotel roof or hit him with a car at full speed. And the Head of this ""powerful organization"" lives among camels in an African desert ... There are some entertaining moments, however the numerous fighting scenes become dull after a while."
9,"That was INTENSE. Decided to watch this after seeing this film pop up on so many ""2019 Top 10 movies"" lists and I couldn't be happier that I did. Adam Sandler absolutely killed it in this, I kept feeling confused at the choices he made but at the same time felt sorry for him.That ending game though... my palms were sweaty and I was on the edge of my seat waiting to see if it was going to end badly like most gambling movies do. I was extremely surprised to see him win his bet thinking ""wow this movie actually is going to have a happy ending"" but oh boy was I SHOCKED when Sandler unlocked that door... my jaw was on the ground.Only thing keeping it from a 10 is the ending felt incomplete. What's his family going to think and what's his side piece gonna do once she came back to his dead corpse. Either way this movie was amazing.Edit: wow did not expect so much hate on this film after reading other reviews... not to mention it looks like users here are fishing out positive reviews and marking them all as ""non helpful"". I don't know about those bad reviewers but any movie that has me at a lost for words and a pounding heart rate for that long deserves a spot high up on my list..."
